Date,Month,Year,Played For,Played Against,Score,How Out,Position,Match Result,Innings,Match Format
06/05/2016,,2016,Harwell International,Warwick University Staff,56,Stumped,4,Lost,2,
07/05/2016,,2016,Harwell International,Brightwell-cum-Stockwell,68,Not Out,1,Lost,1,
08/05/2016,,2016,Harwell International,Bamport,29,Bowled,1,Lost,2,
09/05/2016,,2016,Harwell International,Dicot,62,Caught,1,Lost,1,
10/05/2016,,2016,Harwell International,Random Team 3,4,Bowled,1,Lost,2,
11/05/2016,,2016,Harwell International,Wantage,21,Caught,1,Lost,1,
20/04/2019,,2019,Partick 2XI ,Helensborough,29,Caught,3,Won,2,
21/04/2019,,2019,Partick 2XI ,Hillhead ,2,Caught,3,Lost,1,
28/04/2019,,2019,Hamilton Crescent ,Glasgow University 2nd XI,85,Not Out,3,Won,2,
11/05/2019,,2019,Partick 2XI,Kelbourne 2nd XI,0,LBW,3,Won,2,
14/05/2019,,2019,Partick 2XI,Hillhead,20,Caught,5,Lost,2,
19/05/2019,,2019,Hamilton Crescent ,Irvine,43,Bowled,3,Lost,2,
25/05/2019,,2019,Partick 2XI,Prestwick 2XI,27,Not Out,2,Won,2,
08/06/2019,,2019,Partick 2XI,Bothwell,6,Bowled,1,Won,1,
03/08/2019,,2019,Hamilton Crescent ,Inverclyde,20,Not Out,4,Won,2,
24/08/2019,,2019,Partick 2XI,Langloan,1,Bowled,2,Lost,2,
01/09/2019,,2019,Hamilton Crescent ,Stenhousmuir Dev XI,15,Caught,3,Lost,2,
02/08/2020,,2020,Cole XI,Sutherland XI,47,Not Out,1,Win,2,
09/08/2020,,2020,Howgate XI,Ross XI,5,Caught,5,Win,1,
15/08/2020,,2020,Partick XI,Accies XI,6,Bowled,2,Win,1,
28/08/2020,,2020,Partick 2XI,Hillhead,17,Caught,2,Lost,2,
29/09/2020,,2020,Sunday XI,Ferguslie,39,Caught,3,Won,2,
